NAME_ENGL,ISO3_CODE,pillar_num,pillar_txt,type,title,url,version,filename,icon
Australia,AUS,2,Rights and freedoms,¶ Source,¶ Online Safety Act (Australia),https://www.infrastructure.gov.au/media-technology-communications/internet/online-safety/current-legislation,1,NA,¶
Australia,AUS,1,Connectivity and infrastructure,⌕ Analysis,⌕ Resilience & infrastructure,https://pulse.internetsociety.org/en/reports/AU,2,NA,⌕
Australia,AUS,4,Trust and resilience,⌕ Analysis,⌕ Internet resilience,https://pulse.internetsociety.org/en/resilience/AU,2,NA,⌕
Australia,AUS,1,Connectivity and infrastructure,⌕ Analysis,⌕ Connectivity & usage (index/landing),https://datareportal.com/,2,NA,⌕
Australia,AUS,2,Rights and freedoms,⌕ Analysis,⌕ Digital rights,https://freedomhouse.org/country/australia/freedom-net/2024,2,NA,⌕
Australia,AUS,1,Connectivity and infrastructure,⌕ Analysis,⌕ Mobile connectivity enablers,https://www.mobileconnectivityindex.com/assets/excelData/MCI_data_2025.xlsx,2,NA,⌕
Australia,AUS,1,Connectivity and infrastructure,⌕ Analysis,⌕ Mobile internet trends,https://www.gsma.com/r/somic/,2,NA,⌕
Australia,AUS,1,Connectivity and infrastructure,⌕ Analysis,⌕ Global indicators & benchmarks,https://www.itu.int/en/ITU-D/Statistics/pages/facts/default.aspx,2,NA,⌕
Australia,AUS,3,Responsibility and sustainability,⌕ Analysis,⌕ Digital economy & governance,https://www.worldbank.org/en/publication/digital-progress-and-trends-report,2,NA,⌕
Australia,AUS,4,Trust and resilience,⌕ Analysis,⌕ Shutdowns,https://www.accessnow.org/wp-content/uploads/2025/02/KeepItOn-2024-Internet-Shutdowns-Annual-Report.pdf,2,NA,⌕
Australia,AUS,2,Rights and freedoms,⌕ Analysis,⌕ Network disruptions & censorship,https://netblocks.org/reports,2,NA,⌕
Australia,AUS,4,Trust and resilience,¶ Source,¶ Online Safety Act (Australia),https://www.infrastructure.gov.au/media-technology-communications/internet/online-safety/current-legislation,1,NA,¶
Australia,AUS,1,Connectivity and infrastructure,⌕ Analysis,⌕ Speeds & quality (broadband/mobile),https://www.speedtest.net/global-index,NA,NA,⌕
Australia,AUS,3,Responsibility and sustainability,⌕ Analysis,⌕ Trends & governance,https://www.internetsociety.org/globalinternetreport/,NA,NA,⌕
Australia,AUS,3,Responsibility and sustainability,⌕ Analysis,⌕ AI governance & consumer protection online,https://digitalrightswatch.org.au/images/submission_-review-of-ai-and-the-australian-consumer-law-2024.pdf,NA,NA,⌕
Austria,AUT,3,Responsibility and sustainability,⌕ Analysis,⌕ Digital rights & policy in Austria,https://epicenter.works/sites/default/files/epicenter.works_Jahresbericht_2023-24.pdf,2,NA,⌕
