NAME_ENGL,ISO3_CODE,pillar_num,pillar_txt,type,title,publisher,url,version
Australia,AUS,4,Trust and resilience,Source,Online Safety Act (Australia),Government,https://www.infrastructure.gov.au/media-technology-communications/internet/online-safety/current-legislation,1
Australia,AUS,3,Responsibility and sustainability,Analysis,Trends & governance,Internet Society,https://www.internetsociety.org/globalinternetreport/,NA
Australia,AUS,3,Responsibility and sustainability,Analysis,AI governance & consumer protection online,Digital Rights Watch,https://digitalrightswatch.org.au/images/submission_-review-of-ai-and-the-australian-consumer-law-2024.pdf,NA
Bangladesh,BGD,4,Trust and resilience,Analysis,BGD e-GOV CIRT (Bangladesh),GIFI,NA,1
Bangladesh,BGD,1,Connectivity and infrastructure,Analysis,Resilience & infrastructure,Internet Society,https://pulse.internetsociety.org/en/reports/BD,2
Bangladesh,BGD,4,Trust and resilience,Analysis,Internet resilience,Internet Society,https://pulse.internetsociety.org/en/resilience/BD,2
Bangladesh,BGD,2,Rights and freedoms,Analysis,Digital rights,Freedom House,https://freedomhouse.org/country/bangladesh/freedom-net/2024,2
Bangladesh,BGD,1,Connectivity and infrastructure,Analysis,Mobile connectivity enablers,GSMA,https://www.mobileconnectivityindex.com/assets/excelData/MCI_data_2025.xlsx,2
Bangladesh,BGD,1,Connectivity and infrastructure,Analysis,Mobile internet trends,GSMA,https://www.gsma.com/r/somic/,2
Bangladesh,BGD,1,Connectivity and infrastructure,Analysis,Global indicators & benchmarks,ITU,https://www.itu.int/en/ITU-D/Statistics/pages/facts/default.aspx,2
Bangladesh,BGD,3,Responsibility and sustainability,Analysis,Digital economy & governance,World Bank,https://www.worldbank.org/en/publication/digital-progress-and-trends-report,2
Bangladesh,BGD,4,Trust and resilience,Analysis,Shutdowns,Access Now,https://www.accessnow.org/wp-content/uploads/2025/02/KeepItOn-2024-Internet-Shutdowns-Annual-Report.pdf,2
Bangladesh,BGD,2,Rights and freedoms,Analysis,Network disruptions & censorship,NetBlocks,https://netblocks.org/reports,2
Bangladesh,BGD,3,Responsibility and sustainability,Analysis,Trends & governance,Internet Society,https://www.internetsociety.org/globalinternetreport/,2
Bangladesh,BGD,2,Rights and freedoms,Academic,Freedom of expression,JAAS,https://doi.org/10.1177/00219096261437744,4
Belgium,BEL,2,Rights and freedoms,Analysis,Digital rights,Freedom House,https://freedomhouse.org/country/belgium/freedom-net/2024,2
Belize,BLZ,4,Trust and resilience,Project,Building Resilient MSMEs Project (Belize),GIFI,NA,1
Benin,BEN,1,Connectivity and infrastructure,Analysis,Resilience & infrastructure,Internet Society,https://pulse.internetsociety.org/en/reports/BJ,3
Benin,BEN,4,Trust and resilience,Analysis,Internet resilience,Internet Society,https://pulse.internetsociety.org/en/resilience/BJ,3
Benin,BEN,1,Connectivity and infrastructure,Analysis,Mobile connectivity enablers,GSMA,https://www.mobileconnectivityindex.com/assets/excelData/MCI_data_2025.xlsx,3
Benin,BEN,1,Connectivity and infrastructure,Analysis,Mobile internet trends,GSMA,https://www.gsma.com/r/somic/,3
Benin,BEN,1,Connectivity and infrastructure,Analysis,Global indicators & benchmarks,ITU,https://www.itu.int/en/ITU-D/Statistics/pages/facts/default.aspx,3
Benin,BEN,3,Responsibility and sustainability,Analysis,Digital economy & governance,World Bank,https://www.worldbank.org/en/publication/digital-progress-and-trends-report,3
Benin,BEN,4,Trust and resilience,Analysis,Shutdowns,Access Now,https://www.accessnow.org/wp-content/uploads/2025/02/KeepItOn-2024-Internet-Shutdowns-Annual-Report.pdf,3
Benin,BEN,2,Rights and freedoms,Analysis,Network disruptions & censorship,NetBlocks,https://netblocks.org/reports,3
Bolivia,BOL,1,Connectivity and infrastructure,Analysis,Resilience & infrastructure,Internet Society,https://pulse.internetsociety.org/en/reports/BO,2
Bolivia,BOL,4,Trust and resilience,Analysis,Internet resilience,Internet Society,https://pulse.internetsociety.org/en/resilience/BO,2
Bolivia,BOL,2,Rights and freedoms,Analysis,Digital rights,Freedom House,https://freedomhouse.org/country/bolivia/freedom-net/2024,2
Bolivia,BOL,1,Connectivity and infrastructure,Analysis,Mobile connectivity enablers,GSMA,https://www.mobileconnectivityindex.com/assets/excelData/MCI_data_2025.xlsx,2
Bolivia,BOL,1,Connectivity and infrastructure,Analysis,Mobile internet trends,GSMA,https://www.gsma.com/r/somic/,2
Bolivia,BOL,1,Connectivity and infrastructure,Analysis,Global indicators & benchmarks,ITU,https://www.itu.int/en/ITU-D/Statistics/pages/facts/default.aspx,2
